,Ticker,Name,Type,Price
0,ACN,Accenture,Regular,320.26611328125
1,AQN,Algonquin,Regular,14.229999542236328
2,BABA,Alibaba,Regular,106.89009857177734
3,GOOG,Alphabet,Regular,2694.580078125
4,ALA.TO,AltaGas,Regular,27.959999084472656
5,AMZN,Amazon.com,Regular,3064.989990234375
6,AAL,AngloAmerican,Regular,17.64590072631836
7,AAPL,Apple,Regular,164.39500427246094
8,T,AT&T,Regular,24.065000534057617
9,AY,Atlantica,Regular,33.02000045776367
10,BMO,Bank of Montreal,Financial,114.48999786376953
11,BRK-B,Berkshire Hathaway,Financial,319.260009765625
12,BP.L,BP,Regular,378.5
13,BIPC,Brookfield Infrastructure,Regular,69.73999786376953
14,BEPC,Brookfield Renewable,Regular,35.45000076293945
15,BTB-UN.TO,BTB REIT,Regular,4.079999923706055
16,CVX,Chevron,Regular,138.63299560546875
17,COST,Costco,Regular,517.260009765625
18,DFS,Discover Financial Services,Regular,123.80999755859375
19,EBAY,eBay,Regular,55.04999923706055
20,ENB,Enbridge,Regular,42.3843994140625
21,XOM,Exxon Mobil,Regular,76.94300079345703
22,FTS,Fortis,Regular,45.81999969482422
23,GLEN.L,Glencore,Regular,439.1499938964844
24,GMRE,Global Medical REIT,Regular,15.779999732971191
25,IAG.L,International Consolidated Airlines Group,Regular,154.52000427246094
26,JPM,JPMorgan,Financial,149.94000244140625
27,MFC,Manulife,Financial,20.309999465942383
28,MKL,Markel,Financial,1249.9000244140625
29,MA,Mastercard,Regular,371.8999938964844
30,MELI,MercadoLibre,Regular,1109.114990234375
31,MSFT,Microsoft,Regular,296.9100036621094
32,NFI.TO,NFI Group,Regular,18.8700008392334
33,NXPI,NXP Semiconductors,Regular,192.3300018310547
34,PYPL,PayPal,Regular,109.45999908447266
35,RIO,Rio Tinto,Regular,77.40750122070312
36,SHEL,Shell,Regular,53.59000015258789
37,SAP,Saputo,Regular,114.22000122070312
38,SLF,SunLife,Financial,52.70000076293945
39,TRP,TC Energy,Regular,52.3650016784668
40,TU,TELUS,Regular,25.44499969482422
41,BK,Bank of New York Mellon Corporation,Financial,54.15999984741211
42,BNS,Bank of Nova Scotia,Financial,71.89700317382812
43,TDG,TransDigm,Regular,665.0750122070312
44,V,Visa,Regular,220.07000732421875
45,BLK,BlackRock,Financial,747.3187866210938
